Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
23/02/2026 17:53:33,02/02/2026,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,26,"ANH TRAI ""SAY HI""",99405,2003
23/02/2026 17:53:33,02/02/2026,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),27,Nguyễn Hùng,153016,4716
23/02/2026 17:53:33,02/02/2026,Em Thua Cô Ta (#1),28,Thiên Đình,64675,1044
23/02/2026 17:53:33,02/02/2026,Âm Thầm Bên Em,29,Sơn Tùng M-TP,317224,6019
23/02/2026 17:53:33,02/02/2026,E Là Không Thể,30,Anh Quân,214123,1290
23/02/2026 17:53:33,02/02/2026,Giờ Thì,31,buitruonglinh,189044,1761829200000
23/02/2026 17:53:33,02/02/2026,Hãy Trao Cho Anh,32,Sơn Tùng M-TP,944595,6019
23/02/2026 17:53:33,02/02/2026,Dù Cho Tận Thế,33,ERIK,259218,7679
23/02/2026 17:53:33,02/02/2026,Ngàn Năm Ánh Sáng,34,Đặng Vĩnh Thịnh,84473,1167
23/02/2026 17:53:33,02/02/2026,Những Lời Hứa Bỏ Quên,35,Vũ.,314105,5858
23/02/2026 17:53:33,02/02/2026,Pin Dự Phòng,36,Dương Domic,105951,1613
23/02/2026 17:53:33,02/02/2026,Việt Nam Tinh Hoa,37,Nguyễn Hải Phong,4517,6
23/02/2026 17:53:33,02/02/2026,50 Năm Về Sau,38,meChill,16235,574
23/02/2026 17:53:33,02/02/2026,Có Mình Và Ta,39,Nguyễn Vĩ,36230,568
23/02/2026 17:53:33,02/02/2026,Khóa Ly Biệt,40,The Masked Singer,361327,0
23/02/2026 17:53:33,02/02/2026,Hôn Vào Đây Đi,41,VSTRA,24050,682
23/02/2026 17:53:33,02/02/2026,một đời,42,14 Casper,189746,4641
23/02/2026 17:53:33,02/02/2026,Khó Vẽ Nụ Cười,43,Đạt G,554806,5190
23/02/2026 17:53:33,02/02/2026,Panorama,44,Richie D. ICY,39461,652
23/02/2026 17:53:33,02/02/2026,Wrong Times,45,Puppy,189248,3738
23/02/2026 17:53:33,02/02/2026,Exit Sign,46,HIEUTHUHAI,199914,4475
23/02/2026 17:53:33,02/02/2026,Em,47,Binz,48778,1065
23/02/2026 17:53:33,02/02/2026,Nắng Dưới Chân Mây,48,Nguyễn Hữu Kha,103452,2287
23/02/2026 17:53:33,02/02/2026,Thu Đợi,49,Wren Evans,25344,387
